event_id,event_name,show_id,show_start,show_end,ticketed,base_price
1016624,Don Quixote,2046245,2016-03-11 22:05,2016-03-11 22:45,N,NULL
1016624,Don Quixote,2046233,2016-03-10 21:20,2016-03-10 21:50,N,NULL
1016624,Don Quixote,2046299,2016-03-13 20:20,2016-03-13 20:50,N,NULL
1016624,Don Quixote,2046234,2016-03-10 22:05,2016-03-10 22:45,N,NULL
1016624,Don Quixote,2046297,2016-03-13 15:05,2016-03-13 15:45,N,NULL
1016623,ATC 2016: Sparks Chamber Clarinets,2046230,2016-03-09 19:15,2016-03-09 19:45,N,NULL
1016623,ATC 2016: Sparks Chamber Clarinets,2046231,2016-03-09 20:15,2016-03-09 20:45,N,NULL
1016622,Chinese Chamber Music Series 2016: Percussion (by Xu Fan from SCO),2046265,2016-03-09 20:42,2016-03-09 21:06,N,NULL
1016621,ATC 2016 - Cool Classics: SMU Guitarissimo,2046224,2016-03-08 20:15,2016-03-08 20:45,N,NULL
1016621,ATC 2016 - Cool Classics: SMU Guitarissimo,2046223,2016-03-08 19:15,2016-03-08 19:45,N,NULL
1016619,ATC 2016 - Cool Classics: NAFA Music Students,2046213,2016-03-07 19:15,2016-03-07 19:45,N,NULL
1016619,ATC 2016 - Cool Classics: NAFA Music Students,2046404,2016-03-21 19:15,2016-03-21 19:45,N,NULL
1016619,ATC 2016 - Cool Classics: NAFA Music Students,2046416,2016-03-22 20:15,2016-03-22 20:45,N,NULL
1016619,ATC 2016 - Cool Classics: NAFA Music Students,2046405,2016-03-21 20:15,2016-03-21 20:45,N,NULL
1016619,ATC 2016 - Cool Classics: NAFA Music Students,2046214,2016-03-07 20:15,2016-03-07 20:45,N,NULL
1016619,ATC 2016 - Cool Classics: NAFA Music Students,2046415,2016-03-22 19:15,2016-03-22 19:45,N,NULL
1016618,SSO VCH Mar 2016 - Organ Series: On Broadway,2046212,2016-03-07 12:30,2016-03-07 13:15,N,NULL
1016615,Overseas Academic Link UK Fair,2046199,2016-03-06 14:00,2016-03-06 17:00,N,NULL
1016614,One to Five - Dicapella Inaugural Concert,2046198,2016-03-06 20:25,2016-03-06 21:00,N,NULL
1016613,ATC 2016 - Cool Classics: Children's Carnival (by Han Quan and Jie Wei),2046185,2016-03-05 11:45,2016-03-05 12:15,N,NULL
1016613,ATC 2016 - Cool Classics: Children's Carnival (by Han Quan and Jie Wei),2046186,2016-03-05 13:15,2016-03-05 13:45,N,NULL
1016612,Cool Classics: Jonathan Charles Tay and Rebecca Li,2046180,2016-03-05 18:15,2016-03-05 18:45,N,NULL
1016612,Cool Classics: Jonathan Charles Tay and Rebecca Li,2046181,2016-03-05 19:15,2016-03-05 19:45,N,NULL
1016612,Cool Classics: Jonathan Charles Tay and Rebecca Li,2046179,2016-03-05 17:15,2016-03-05 17:45,N,NULL
1016611,Lux Nova,2046176,2016-03-05 20:40,2016-03-05 21:30,N,NULL
1016608,SSO CH Mar 2016 - Symphonie Fantastique,2046163,2016-03-05 20:35,2016-03-05 21:30,N,NULL
1016606,Huayi 2016 - Drums Fiesta (by Nanyang Polytechnic Chinese Orchestra Percussion Ensemble),2046156,2016-02-14 19:30,2016-02-14 20:00,N,NULL
1016606,Huayi 2016 - Drums Fiesta (by Nanyang Polytechnic Chinese Orchestra Percussion Ensemble),2046159,2016-02-21 19:45,2016-02-21 20:15,N,NULL
1016606,Huayi 2016 - Drums Fiesta (by Nanyang Polytechnic Chinese Orchestra Percussion Ensemble),2046160,2016-02-21 20:45,2016-02-21 21:15,N,NULL
1016606,Huayi 2016 - Drums Fiesta (by Nanyang Polytechnic Chinese Orchestra Percussion Ensemble),2046158,2016-02-21 18:45,2016-02-21 19:15,N,NULL
1016606,Huayi 2016 - Drums Fiesta (by Nanyang Polytechnic Chinese Orchestra Percussion Ensemble),2046155,2016-02-14 18:30,2016-02-14 19:00,N,NULL
1016606,Huayi 2016 - Drums Fiesta (by Nanyang Polytechnic Chinese Orchestra Percussion Ensemble),2046157,2016-02-14 20:30,2016-02-14 21:00,N,NULL
1016605,Huayi 2016 - Outdoor Sing-along (by TCR Music Station),2046154,2016-02-19 22:00,2016-02-19 22:45,N,NULL
